12,
40,
40,
40,
40,
40,
40,
40,
40,
40,
40,
40,
40,
272,17,362
2,1,2,16,13,341,-25
2,1,2,16,9,859,30
2,1,2,16,8,432,-10
1,1,3,16,9,639,0
0,1,3,16,9,504,15
0,1,3,16,9,776,-15
2,1,4,16,11,639,0
2,1,4,16,11,595,15
2,1,4,16,11,550,15
2,1,4,16,11,505,25
2,1,4,16,11,459,25
2,1,4,16,11,415,25
2,1,4,16,11,370,30
2,1,4,16,11,325,30
2,1,4,16,11,279,30
2,1,4,16,11,684,-15
2,1,4,16,11,730,-15
2,1,4,16,11,774,-25
2,1,4,16,11,820,-25
2,1,4,16,11,864,-25
2,1,4,16,11,910,-30
2,1,4,16,11,954,-30
2,1,4,16,11,1001,-30
2,2,1,16,13,309,-20
2,2,1,16,7,402,-20
0,2,1,16,7,997,10
0,2,1,16,12,759,15
2,2,2,16,13,316,-5
2,2,2,16,9,324,-15
2,2,2,16,8,340,-10
2,2,2,16,6,495,5
2,2,2,16,4,588,5
0,2,2,16,7,661,-10
0,2,2,16,9,751,-15
0,2,2,16,9,934,5
0,2,2,16,3,790,0
0,2,2,16,13,995,5
0,2,3,16,3,991,0
0,2,3,16,4,833,5
0,2,3,16,7,775,5
0,2,3,16,15,994,10
0,2,3,16,12,697,-20
0,2,3,16,5,642,-10
1,2,3,16,11,918,0
2,2,3,16,11,521,5
2,2,3,16,5,326,-15
2,2,3,16,7,539,5
2,2,3,16,14,399,0
2,6,1,16,11,641,0
2,6,1,16,11,594,15
2,6,1,16,11,550,15
2,6,1,16,11,506,25
2,6,1,16,11,461,25
2,6,1,16,11,417,25
2,6,1,16,11,369,30
2,6,1,16,11,324,30
2,6,1,16,11,279,30
2,6,1,16,11,686,-15
2,6,1,16,11,730,-15
2,6,1,16,11,775,-25
2,6,1,16,11,820,-25
2,6,1,16,11,865,-25
2,6,1,16,11,910,-30
2,6,1,16,11,956,-30
2,6,1,16,11,1000,-30
2,5,4,16,14,413,5
2,5,4,16,6,592,5
2,5,4,16,10,926,-5
2,5,4,16,9,708,-5
0,5,4,16,9,363,5
0,5,4,16,12,605,5
0,5,4,16,15,960,-5
0,5,3,16,14,573,-5
0,5,3,16,9,461,0
0,5,3,16,5,341,-15
0,5,3,16,2,585,50
2,5,3,16,7,708,-30
2,5,3,16,11,917,15
2,5,3,16,13,777,-5
2,5,3,16,4,1031,30
2,5,2,16,13,355,-15
2,5,2,16,8,626,20
2,5,2,16,6,490,5
2,5,2,16,16,535,15
2,5,2,16,11,482,10
0,5,2,16,11,774,-10
0,5,2,16,6,1122,30
0,5,2,16,5,629,-25
0,5,2,16,16,992,0
0,5,2,16,2,942,35
0,5,2,16,13,953,10
1,5,3,16,12,382,-15
0,2,4,16,10,756,0
0,2,4,16,10,861,0
0,2,4,16,10,906,0
0,2,4,16,10,970,0
0,2,4,16,10,936,0
0,2,4,16,10,817,0
0,2,4,16,10,786,0
0,2,4,16,10,722,0
0,2,4,16,10,692,0
0,2,4,16,10,657,0
0,2,4,16,10,1003,0
2,2,4,16,10,625,0
2,2,4,16,10,588,0
2,2,4,16,10,557,0
2,2,4,16,10,524,0
2,2,4,16,10,491,0
2,2,4,16,10,461,0
2,2,4,16,10,426,0
2,2,4,16,10,396,0
2,2,4,16,10,360,0
2,2,4,16,10,328,0
2,2,4,16,10,288,0
2,2,4,16,7,626,0
2,2,4,16,7,586,0
2,2,4,16,7,551,0
2,2,4,16,7,515,0
2,2,4,16,7,480,0
2,2,4,16,7,447,0
2,2,4,16,7,417,0
2,2,4,16,7,387,0
2,2,4,16,7,353,0
2,2,4,16,7,318,0
2,2,4,16,7,284,0
0,2,4,16,7,656,0
0,2,4,16,7,686,0
0,2,4,16,7,723,0
0,2,4,16,7,753,0
0,2,4,16,7,791,0
0,2,4,16,7,828,0
0,2,4,16,7,858,0
0,2,4,16,7,896,0
0,2,4,16,7,931,0
0,2,4,16,7,973,0
0,2,4,16,7,1003,0
0,5,1,16,15,303,-15
0,5,1,16,2,600,40
0,5,1,16,10,519,10
0,5,1,16,6,365,0
0,5,1,16,5,473,5
2,5,1,16,15,663,-15
2,5,1,16,10,881,10
2,5,1,16,6,722,0
2,5,1,16,5,827,5
2,5,1,16,2,957,35
1,5,1,16,12,209,-25
0,3,1,16,2,438,5
0,3,1,16,3,585,15
0,3,1,16,4,636,15
